,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,"0,83","0,8631578947","0,9761904762","0,92","0,9322916667","0,7735849057",82,24,276,2
1,2,"0,77","0,8202247191","0,869047619","0,93","0,9166666667","0,7765957447",73,21,279,11
2,3,"0,84","0,8777777778","0,9404761905","0,9433333333","0,9427083333","0,8229166667",79,17,283,5
3,4,"0,80","0,8457142857","0,880952381","0,9433333333","0,9296875","0,8131868132",74,17,283,10
4,5,"0,79","0,8342857143","0,869047619","0,94","0,9244791667","0,8021978022",73,18,282,11
5,6,"0,79","0,8363636364","0,8214285714","0,96","0,9296875","0,8518518519",69,12,288,15
6,7,"0,77","0,817679558","0,880952381","0,9233333333","0,9140625","0,7628865979",74,23,277,10
7,8,"0,83","0,8639053254","0,869047619","0,96","0,9401041667","0,8588235294",73,12,288,11
8,9,"0,75","0,8","0,9285714286","0,89","0,8984375","0,7027027027",78,33,267,6
9,10,"0,76","0,8152173913","0,8928571429","0,9166666667","0,9114583333","0,75",75,25,275,9
,,"79,30","83,74","89,29","93,27","92,40","79,15",75,"20,2","279,8",9
,,"3,16","2,51","4,42","2,14","1,38","4,80","0,05","3,71","6,41","6,41"
